Province,city ID,city,nearby 1,nearby 2,nearby 3
Bali,c442c866-1211-4b32-87c0-48e631790c40,Badung,Denpasar,Gianyar,Tabanan
Bali,35c87747-6d1f-4dfb-8ee2-1a799a121112,Bangli,Karang Asem,Gianyar,Klungkung
Bali,d3c0066c-3cea-4a6b-bf65-788794852a30,Buleleng,Tabanan,Jembrana,Bangli
Bali,0dc937ff-525e-476c-b070-37a1c22e7bca,Denpasar,Badung,Gianyar,Klungkung
Bali,86bc3a4c-3c4c-4b51-8468-aa50a5b938c6,Gianyar,Badung,Klungkung,Denpasar
Bali,47947f35-3d17-4f00-98bc-1878a0de29dd,Jembrana,Buleleng,Tabanan,Banyuwangi
Bali,96e785c2-52d8-4bd3-b107-fa30892f8697,Karang Asem,Klungkung,Bangli,Gianyar
Bali,08d59cf7-d11b-4054-bcf5-d9e5c5ad7d85,Klungkung,Gianyar,Karang Asem,Badung
Bali,06ee3547-a050-4e5c-bf66-f4349dc1c4c3,Tabanan,Badung,Gianyar,Buleleng
Banten,d29adc29-80d5-4a35-ad22-edd3e4295d09,Cilegon,Serang,Serang,Tangerang
Banten,df82cede-77e1-4f12-bd7b-3b55d2cafb53,Lebak,Pandeglang,Bogor,Serang
Banten,26592e50-4641-4d76-943e-bb0141a8e2cd,Pandeglang,Serang,Lebak,Serang
Banten,ba5a7c20-2d28-435b-b241-eb4ef06e33d8,Serang,Cilegon,Serang,Tangerang
Banten,cc9d6315-e377-4fa1-aa79-45d3eea6706a,Serang,Cilegon,Serang,Pandeglang
Banten,ae3c458e-5947-4833-8f1b-e001ce2fad1d,Tangerang,Jakarta Barat,Tangerang Selatan,Tangerang
Banten,d305a80e-4891-45a4-8c5b-29c9242f431e,Tangerang,Tangerang,Tangerang Selatan,Jakarta Barat
Banten,337f8da8-70d8-4916-9733-1cee8e4902e9,Tangerang Selatan,Jakarta Selatan,Jakarta Barat,Tangerang
Bengkulu,a81fcf88-e5b2-4f12-af50-117256edc91d,Bengkulu,Bengkulu Tengah,Seluma,Kepahiang
Bengkulu,659b287f-c823-410b-bdd9-0310255132af,Bengkulu Selatan,Pagar Alam,Kaur,Muara Enim
Bengkulu,3863d4b7-8bc2-4753-9e61-1f80080e9472,Bengkulu Tengah,Bengkulu,Kepahiang,Seluma
Bengkulu,669ef7ae-e4d7-45c1-80d4-314a27203a2b,Bengkulu Utara,Lebong,Mukomuko,Bengkulu Tengah
Bengkulu,05afba22-3a75-4128-8070-000a997c4f95,Kaur,Bengkulu Selatan,Muara Enim,Pagar Alam
Bengkulu,f9592927-039f-4cc4-ae35-3255dd744b8c,Kepahiang,Bengkulu Tengah,Rejang Lebong,Bengkulu
Bengkulu,0c44cac9-7c0a-40aa-9607-7c5fc6efc522,Lebong,Bengkulu Utara,Rejang Lebong,Kepahiang
Bengkulu,4f9f9bc0-90c8-4dde-8503-ebc303c52bac,Mukomuko,Bengkulu Utara,Lebong,Sungai Penuh
Bengkulu,d4b4372b-596c-4f3c-9101-041d51902c5a,Rejang Lebong,Lubuklinggau,Kepahiang,Empat Lawang
Bengkulu,056d8c93-b14f-4114-8678-c1823dbb660e,Seluma,Bengkulu,Bengkulu Tengah,Kepahiang
DI Yogyakarta,7e00299d-34f6-4312-ae06-ce9d4289680c,Bantul,Yogyakarta,Sleman,Kulon Progo
DI Yogyakarta,ac50f403-fbb3-4e19-9a2a-72f8c1b3ccf6,Gunungkidul,Bantul,Yogyakarta,Klaten
DI Yogyakarta,fc4ab164-1f66-4c38-baeb-d242828ee80d,Kulon Progo,Sleman,Purworejo,Yogyakarta
DI Yogyakarta,43b7ade6-0205-419a-9f6e-455b116b4d8e,Sleman,Yogyakarta,Kulon Progo,Bantul
DI Yogyakarta,9857274b-b76f-4e43-ac9b-d2904ac8a372,Yogyakarta,Bantul,Sleman,Kulon Progo
DKI Jakarta,af0ed74f-1b51-43cf-a14c-459996e39105,Jakarta Barat,Jakarta Pusat,Jakarta Selatan,Tangerang
DKI Jakarta,e2a615bb-0997-42c8-a018-c4a1768ae01f,Jakarta Pusat,Jakarta Barat,Jakarta Utara,Jakarta Timur
DKI Jakarta,078b37b2-e791-4739-958e-c29192e5df3e,Jakarta Selatan,Jakarta Timur,Jakarta Pusat,Tangerang Selatan
